BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8859635,Ericsson,Principal Solution Architect,Singapore,Payments,Product Management,Account Manager,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,"Change will never be this slow again - Reaching your next billion customers
",10/14/15,14:00,13:45:47,14-Oct-15,Conference room 3,CR3,Community
8849809,ASX,"Senior Manager, OTC Markets",Australia,Derivatives,Business Development/Strategy,Managing Director/ Director / EVP,Exchange,31 to 40,Week-long Participant Pass - Exhibitor voucher used without lunch,COMMUNITY,"Change will never be this slow again - Reaching your next billion customers
",10/14/15,14:00,13:55:46,14-Oct-15,Conference room 3,CR3,Community
8849809,ASX,"Senior Manager, OTC Markets",Australia,Derivatives,Business Development/Strategy,Managing Director/ Director / EVP,Exchange,31 to 40,Week-long Participant Pass - Exhibitor voucher used without lunch,COMMUNITY,The internationalisation of RMB: New opportunities for ASEAN economies,10/14/15,15:30,15:33:13,14-Oct-15,Conference room 4,CR4,Community
8575108,OP-Services Ltd (Pohjola Bank),Analyst/Consultant,Finland,Payments,Information Technology,Analyst/Consultant,Commercial Bank,51 to 60,Chairpersons Pass,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:16:06,14-Oct-15,Conference room 5,CR5,Community
8674806,COMMERCIAL BANK OF ETHIOPIA,Directer Trade Service,Ethiopia,Trade Services,Customer Services,Vice President/ Functional Head,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Corporate Forum Opening Address Day 1: Shaping the future of treasury and trade,10/14/15,8:30,8:22:09,14-Oct-15,Conference room 1,CR1,Corporate Forum
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:16:48,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,9:00:33,14-Oct-15,Conference room 4,CR4,Community
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"Why financial institutions need an ISO 20022 implementation strategy now
",10/14/15,10:30,10:28:00,14-Oct-15,SWIFT Auditorium,SA,SWIFT Auditorium
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,MyStandards - Standards made simple,10/14/15,10:00,10:19:23,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8858951,Ericsson,Regional Head of Ericsson ConsumerLab,Malaysia,Payments,Marketing,Vice President/ Functional Head,Corporate,31 to 40,One Day Participant Pass without lunch,COMMUNITY,"Change will never be this slow again - Reaching your next billion customers
",10/14/15,14:00,13:52:18,14-Oct-15,Conference room 3,CR3,Community
8574758,Swedbank,Senior Manager,Sweden,Payments,Technology Operations,Section Head/Supervisor,Commercial Bank,51 to 60,Chairpersons Pass,COMMUNITY,Real-time payment and digital banking: Nordic session,10/14/15,10:15,10:47:07,14-Oct-15,Conference room 5,CR5,Community
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:22:06,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,SWIFT Institute meets the Compliance Forum ,10/14/15,8:00,7:54:28,14-Oct-15,Conference room 2,CR2,Compliance Forum
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:37:13,14-Oct-15,Conference room 4,CR4,Payments
8718469,Information Partners,,United Kingdom,Not selected,Not selected,Not selected,Not selected,Not selected,Conference Staff pass with lunch,NORMAL,Asset servicing: Issuer to investor automation,10/14/15,14:00,13:50:42,14-Oct-15,Workshop A,WSA,Securities
8717937,EastNets,Chief Sales Officer,Jordan,Payments,Sales,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,"Why financial institutions need an ISO 20022 implementation strategy now
",10/14/15,10:30,10:31:40,14-Oct-15,SWIFT Auditorium,SA,SWIFT Auditorium
8606248,SWIFT,,United States,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:31:37,14-Oct-15,SWIFT Auditorium,SA,Payments
8606248,SWIFT,,United States,Cash Management,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,"SWIFTRef, come and see how to improve straight-through processing of your payments",10/14/15,9:15,9:29:59,14-Oct-15,SWIFTLab,SWLA,SWIFTLab
8809903,Luxembourg for Finance,Executive Assistant to the CEO,Luxembourg,Payments,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,"Disruption geopolitics and finance: Managing the risks",10/14/15,11:30,11:24:33,14-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8809903,Luxembourg for Finance,Executive Assistant to the CEO,Luxembourg,Payments,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,8:57:58,14-Oct-15,Conference room 4,CR4,Community
8809903,Luxembourg for Finance,Executive Assistant to the CEO,Luxembourg,Payments,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,How to create and sustain a diverse talent pipeline,10/14/15,10:15,11:20:47,14-Oct-15,Conference room 3,CR3,Diversity
8809903,Luxembourg for Finance,Executive Assistant to the CEO,Luxembourg,Payments,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Innotribe Startup Challenge Finale,10/14/15,14:00,13:56:13,14-Oct-15,Conference room 2,CR2,Innotribe
8809903,Luxembourg for Finance,Executive Assistant to the CEO,Luxembourg,Payments,Business Development/Strategy,Relationship Manager,Central Bank,31 to 40,Week-long Participant Pass without lunch,NORMAL,Why banks need FinTech hubs,10/14/15,12:45,13:45:09,14-Oct-15,Innotribe,INN,Innotribe
8805892,"BANK MANDIRI (PERSERO), PT.",Senior Vice President,Indonesia,Cash Management,Sales,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,Capturing new payments transactions opportunities from developing trade corridors,10/14/15,10:15,10:34:26,14-Oct-15,Conference room 4,CR4,Payments
8805892,"BANK MANDIRI (PERSERO), PT.",Senior Vice President,Indonesia,Cash Management,Sales,Managing Director/ Director / EVP,Commercial Bank,41 to 50,Week-long Participant Pass with lunch,NORMAL,"SWIFT for Real-Time Payments
",10/14/15,9:30,9:19:24,14-Oct-15,SWIFT Auditorium,SA,Payments
8789183,Devbridge Group,President,United States,Cash Management,Innovation,Board Member / CEO / CFO,Software Vendor / Consultancy,31 to 40,Week-long Participant Pass with lunch,COMMUNITY,Thrive or die - Why not piggy back innovation on regulation?,10/14/15,9:00,8:49:10,14-Oct-15,Conference room 4,CR4,Community
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,COMMUNITY,Who's driving the future of payments anyway?,10/14/15,15:30,16:17:19,14-Oct-15,Conference room 3,CR3,Community
8624211,Bottomline Technologies,"GM & Director, Payments",United Kingdom,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Software Vendor / Consultancy,41 to 50,Week-long Participant Pass - Exhibitor voucher used with lunch,COMMUNITY,Payments fraud: How to de-risk mission-critical business transactions ,10/14/15,15:30,15:23:17,14-Oct-15,Conference room 5,CR5,Community
